Nepali_Year,Nepali_Month,Nepali_Month_Num,Nepali_Day,Nepali_Date,English_Year,English_Month,English_Day,English_Date,Fine_Gold_9999_Tola,Standard_Gold_9950_Tola,Silver_Tola,Fine_Gold_9999_10grm,Standard_Gold_9950_10grm,Silver_10grm,Tola_Actual_Ratio_9999_9950,Tola_9950_Calculated,Tola_Margin,Gram_Actual_Ratio_9999_9950,Gram_9950_Calculated,Gram_Margin,Gold_Silver_Ratio_Tola,Gold_Silver_Ratio_Gram,Discount_Pct_9999_9950_Tola,Discount_Pct_9999_9950_Gram,Tola_Fine_Change_Amount,Tola_Fine_Change_Percent,Missing_Standard_Tola,Missing_Standard_Gram,Data_Quality_Score
2073,Magh,10,3,2073-10-3,2017,1,16,2017-01-16,55200,55000,795,47325,47150,681.50,1.00364,54999.8,200.0,1.00371,47150.07,175.0,69.43,69.44,0.3623,0.3698,,,0,0,5
2073,Magh,10,4,2073-10-4,2017,1,17,2017-01-17,55300,55000,795,47410,47150,681.50,1.00545,55000.25,300.0,1.00551,47150.2,260.0,69.56,69.57,0.5425,0.5484,100.0,0.1812,0,0,5
2073,Magh,10,5,2073-10-5,2017,1,18,2017-01-18,55500,55200,800,47585,47325,686,1.00543,55200.26,300.0,1.00549,47325.18,260.0,69.38,69.37,0.5405,0.5464,200.0,0.3617,0,0,5
2073,Magh,10,6,2073-10-6,2017,1,19,2017-01-19,55200,54900,795,47325,47070,681.50,1.00546,54900.24,300.0,1.00542,47069.88,255.0,69.43,69.44,0.5435,0.5388,-300.0,-0.5405,0,0,5
2073,Magh,10,7,2073-10-7,2017,1,20,2017-01-20,55200,54900,795,47325,47070,681.50,1.00546,54900.24,300.0,1.00542,47069.88,255.0,69.43,69.44,0.5435,0.5388,0.0,0.0,0,0,5
2073,Magh,10,9,2073-10-9,2017,1,22,2017-01-22,55400,55100,800,47495,47240,686,1.00544,55100.25,300.0,1.0054,47239.9,255.0,69.25,69.23,0.5415,0.5369,200.0,0.3623,0,0,5
2073,Magh,10,10,2073-10-10,2017,1,23,2017-01-23,55600,55300,800,47670,47410,686,1.00542,55300.27,300.0,1.00548,47410.19,260.0,69.5,69.49,0.5396,0.5454,200.0,0.361,0,0,5
2073,Magh,10,11,2073-10-11,2017,1,24,2017-01-24,55700,55400,800,47755,47495,686,1.00542,55399.73,300.0,1.00547,47495.2,260.0,69.62,69.61,0.5386,0.5444,100.0,0.1799,0,0,5
2073,Magh,10,12,2073-10-12,2017,1,25,2017-01-25,55300,55000,795,47410,47155,681.50,1.00545,55000.25,300.0,1.00541,47154.89,255.0,69.56,69.57,0.5425,0.5379,-400.0,-0.7181,0,0,5
2073,Magh,10,13,2073-10-13,2017,1,26,2017-01-26,55000,54700,790,47155,46895,677,1.00548,54700.24,300.0,1.00554,46895.2,260.0,69.62,69.65,0.5455,0.5514,-300.0,-0.5425,0,0,5
2073,Magh,10,14,2073-10-14,2017,1,27,2017-01-27,54600,54300,785,46810,46555,673,1.00552,54300.26,300.0,1.00548,46554.88,255.0,69.55,69.55,0.5495,0.5448,-400.0,-0.7273,0,0,5
2073,Magh,10,16,2073-10-16,2017,1,29,2017-01-29,54800,54500,800,46985,46725,686,1.0055,54500.25,300.0,1.00556,46725.21,260.0,68.5,68.49,0.5474,0.5534,200.0,0.3663,0,0,5
2073,Magh,10,17,2073-10-17,2017,1,30,2017-01-30,54800,54500,800,46985,46725,686,1.0055,54500.25,300.0,1.00556,46725.21,260.0,68.5,68.49,0.5474,0.5534,0.0,0.0,0,0,5
2073,Magh,10,18,2073-10-18,2017,1,31,2017-01-31,54900,54600,800,47070,46810,686,1.00549,54600.24,300.0,1.00555,46810.2,260.0,68.62,68.62,0.5464,0.5524,100.0,0.1825,0,0,5
2073,Magh,10,19,2073-10-19,2017,2,1,2017-02-01,55100,54800,810,47240,46985,694.50,1.00547,54800.24,300.0,1.00543,46984.87,255.0,68.02,68.02,0.5445,0.5398,200.0,0.3643,0,0,5
2073,Magh,10,20,2073-10-20,2017,2,2,2017-02-02,55200,54900,810,47325,47070,694.50,1.00546,54900.24,300.0,1.00542,47069.88,255.0,68.15,68.14,0.5435,0.5388,100.0,0.1815,0,0,5
2073,Magh,10,21,2073-10-21,2017,2,3,2017-02-03,55100,54800,800,47240,46985,686,1.00547,54800.24,300.0,1.00543,46984.87,255.0,68.88,68.86,0.5445,0.5398,-100.0,-0.1812,0,0,5
2073,Magh,10,23,2073-10-23,2017,2,5,2017-02-05,55300,00000,805,47410,0000,690,,55005.17,294.83,,47156.77,253.23,68.7,68.71,100.0,100.0,200.0,0.363,0,0,5
2073,Magh,10,24,2073-10-24,2017,2,6,2017-02-06,55400,00000,810,47495,00000,694.50,,55104.64,295.36,,47241.31,253.69,68.4,68.39,100.0,100.0,100.0,0.1808,0,0,5
2073,Magh,10,25,2073-10-25,2017,2,7,2017-02-07,55800,0000,815,47840,0000,699,,55502.51,297.49,,47584.47,255.53,68.47,68.44,100.0,100.0,400.0,0.722,0,0,5
2073,Magh,10,26,2073-10-26,2017,2,8,2017-02-08,55800,0000,815,47840,0000,699,,55502.51,297.49,,47584.47,255.53,68.47,68.44,100.0,100.0,0.0,0.0,0,0,5
2073,Magh,10,27,2073-10-27,2017,2,9,2017-02-09,55800,0000,815,47840,0000,699,,55502.51,297.49,,47584.47,255.53,68.47,68.44,100.0,100.0,0.0,0.0,0,0,5
2073,Magh,10,28,2073-10-28,2017,2,10,2017-02-10,55200,0000,805,47325,0000,690,,54905.71,294.29,,47072.22,252.78,68.57,68.59,100.0,100.0,-600.0,-1.0753,0,0,5
2073,Falgun,11,1,2073-11-1,2017,2,12,2017-02-12,55400,0000,820,47495,0000,703,,55104.64,295.36,,47241.31,253.69,67.56,67.56,100.0,100.0,200.0,0.3623,0,0,5
2073,Falgun,11,2,2073-11-2,2017,2,13,2017-02-13,55400,0000,820,47495,0000,703,,55104.64,295.36,,47241.31,253.69,67.56,67.56,100.0,100.0,0.0,0.0,0,0,5
2073,Falgun,11,3,2073-11-3,2017,2,14,2017-02-14,55300,0000,820,47410,0000,703,,55005.17,294.83,,47156.77,253.23,67.44,67.44,100.0,100.0,-100.0,-0.1805,0,0,5
2073,Falgun,11,4,2073-11-4,2017,2,15,2017-02-15,55200,0000,820,47325,0000,703,,54905.71,294.29,,47072.22,252.78,67.32,67.32,100.0,100.0,-100.0,-0.1808,0,0,5
2073,Falgun,11,5,2073-11-5,2017,2,16,2017-02-16,55600,0000,825,47670,0000,707.50,,55303.57,296.43,,47415.38,254.62,67.39,67.38,100.0,100.0,400.0,0.7246,0,0,5
2073,Falgun,11,6,2073-11-6,2017,2,17,2017-02-17,55800,0000,825,47840,0000,707.50,,55502.51,297.49,,47584.47,255.53,67.64,67.62,100.0,100.0,200.0,0.3597,0,0,5
2073,Falgun,11,8,2073-11-8,2017,2,19,2017-02-19,55700,0000,825,47755,0000,707.50,,55403.04,296.96,,47499.93,255.07,67.52,67.5,100.0,100.0,-100.0,-0.1792,0,0,5
2073,Falgun,11,9,2073-11-9,2017,2,20,2017-02-20,55600,0000,820,47670,0000,703,,55303.57,296.43,,47415.38,254.62,67.8,67.81,100.0,100.0,-100.0,-0.1795,0,0,5
2073,Falgun,11,10,2073-11-10,2017,2,21,2017-02-21,55500,0000,820,47585,0000,703,,55204.11,295.89,,47330.83,254.17,67.68,67.69,100.0,100.0,-100.0,-0.1799,0,0,5
2073,Falgun,11,11,2073-11-11,2017,2,22,2017-02-22,55500,0000,820,47585,0000,703,,55204.11,295.89,,47330.83,254.17,67.68,67.69,100.0,100.0,0.0,0.0,0,0,5
2073,Falgun,11,12,2073-11-12,2017,2,23,2017-02-23,55600,0000,820,47670,0000,703,,55303.57,296.43,,47415.38,254.62,67.8,67.81,100.0,100.0,100.0,0.1802,0,0,5
2073,Falgun,11,13,2073-11-13,2017,2,24,2017-02-24,56000,00000,830,48010,00000,711.50,,55701.44,298.56,,47753.56,256.44,67.47,67.48,100.0,100.0,400.0,0.7194,0,0,5
2073,Falgun,11,15,2073-11-15,2017,2,26,2017-02-26,56300,0000,835,48270,0000,716,,55999.84,300.16,,48012.17,257.83,67.43,67.42,100.0,100.0,300.0,0.5357,0,0,5
2073,Falgun,11,16,2073-11-16,2017,2,27,2017-02-27,56200,0000,835,48185,0000,716,,55900.37,299.63,,47927.63,257.37,67.31,67.3,100.0,100.0,-100.0,-0.1776,0,0,5
2073,Falgun,11,17,2073-11-17,2017,2,28,2017-02-28,56200,0000,835,48185,0000,716,,55900.37,299.63,,47927.63,257.37,67.31,67.3,100.0,100.0,0.0,0.0,0,0,5
2073,Falgun,11,18,2073-11-18,2017,3,1,2017-03-01,55800,0000,835,47840,0000,716,,55502.51,297.49,,47584.47,255.53,66.83,66.82,100.0,100.0,-400.0,-0.7117,0,0,5
2073,Falgun,11,19,2073-11-19,2017,3,2,2017-03-02,55900,0000,835,47925,0000,716,,55601.97,298.03,,47669.02,255.98,66.95,66.93,100.0,100.0,100.0,0.1792,0,0,5
2073,Falgun,11,20,2073-11-20,2017,3,3,2017-03-03,55400,0000,815,47495,0000,699,,55104.64,295.36,,47241.31,253.69,67.98,67.95,100.0,100.0,-500.0,-0.8945,0,0,5
2073,Falgun,11,22,2073-11-22,2017,3,5,2017-03-05,55400,0000,820,47495,0000,703,,55104.64,295.36,,47241.31,253.69,67.56,67.56,100.0,100.0,0.0,0.0,0,0,5
2073,Falgun,11,23,2073-11-23,2017,3,6,2017-03-06,55400,0000,815,47495,0000,699,,55104.64,295.36,,47241.31,253.69,67.98,67.95,100.0,100.0,0.0,0.0,0,0,5
2073,Falgun,11,24,2073-11-24,2017,3,7,2017-03-07,55000,0000,805,47155,0000,690,,54706.77,293.23,,46903.13,251.87,68.32,68.34,100.0,100.0,-400.0,-0.722,0,0,5
2073,Falgun,11,25,2073-11-25,2017,3,8,2017-03-08,54700,0000,800,46895,0000,686,,54408.37,291.63,,46644.52,250.48,68.38,68.36,100.0,100.0,-300.0,-0.5455,0,0,5
2073,Falgun,11,26,2073-11-26,2017,3,9,2017-03-09,54300,0000,795,46555,0000,681.50,,54010.5,289.5,,46306.33,248.67,68.3,68.31,100.0,100.0,-400.0,-0.7313,0,0,5
2073,Falgun,11,27,2073-11-27,2017,3,10,2017-03-10,54000,0000,785,46295,00000,673,,53712.1,287.9,,46047.72,247.28,68.79,68.79,100.0,100.0,-300.0,-0.5525,0,0,5
2073,Falgun,11,30,2073-11-30,2017,3,13,2017-03-13,54100,0000,785,46385,0000,673,,53811.57,288.43,,46137.24,247.76,68.92,68.92,100.0,100.0,100.0,0.1852,0,0,5
2073,Chaitra,12,1,2073-12-1,2017,3,14,2017-03-14,53800,0000,780,46125,0000,669,,53513.17,286.83,,45878.63,246.37,68.97,68.95,100.0,100.0,-300.0,-0.5545,0,0,5
2073,Chaitra,12,2,2073-12-2,2017,3,15,2017-03-15,53200,0000,770,45610,0000,660,,52916.37,283.63,,45366.38,243.62,69.09,69.11,100.0,100.0,-600.0,-1.1152,0,0,5
2073,Chaitra,12,3,2073-12-3,2017,3,16,2017-03-16,53900,0000,785,46210,0000,673,,53612.64,287.36,,45963.18,246.82,68.66,68.66,100.0,100.0,700.0,1.3158,0,0,5
2073,Chaitra,12,4,2073-12-4,2017,3,17,2017-03-17,54200,0000,780,46470,0000,669,,53911.04,288.96,,46221.79,248.21,69.49,69.46,100.0,100.0,300.0,0.5566,0,0,5
2073,Chaitra,12,6,2073-12-6,2017,3,19,2017-03-19,54200,0000,785,46470,0000,673,,53911.04,288.96,,46221.79,248.21,69.04,69.05,100.0,100.0,0.0,0.0,0,0,5
2073,Chaitra,12,7,2073-12-7,2017,3,20,2017-03-20,54400,0000,785,46640,0000,673,,54109.97,290.03,,46390.88,249.12,69.3,69.3,100.0,100.0,200.0,0.369,0,0,5
2073,Chaitra,12,8,2073-12-8,2017,3,21,2017-03-21,54200,0000,780,46470,0000,669,,53911.04,288.96,,46221.79,248.21,69.49,69.46,100.0,100.0,-200.0,-0.3676,0,0,5
2073,Chaitra,12,9,2073-12-9,2017,3,22,2017-03-22,54900,0000,785,47070,0000,673,,54607.3,292.7,,46818.58,251.42,69.94,69.94,100.0,100.0,700.0,1.2915,0,0,5
2073,Chaitra,12,10,2073-12-10,2017,3,23,2017-03-23,54900,0000,785,47070,0000,673,,54607.3,292.7,,46818.58,251.42,69.94,69.94,100.0,100.0,0.0,0.0,0,0,5
2073,Chaitra,12,11,2073-12-11,2017,3,24,2017-03-24,54800,0000,790,46985,0000,677.50,,54507.84,292.16,,46734.04,250.96,69.37,69.35,100.0,100.0,-100.0,-0.1821,0,0,5
2073,Chaitra,12,13,2073-12-13,2017,3,26,2017-03-26,54800,0000,795,46985,0000,681.50,,54507.84,292.16,,46734.04,250.96,68.93,68.94,100.0,100.0,0.0,0.0,0,0,5
2073,Chaitra,12,14,2073-12-14,2017,3,27,2017-03-27,55000,0000,795,47155,0000,681.50,,54706.77,293.23,,46903.13,251.87,69.18,69.19,100.0,100.0,200.0,0.365,0,0,5
2073,Chaitra,12,15,2073-12-15,2017,3,28,2017-03-28,54900,0000,800,47070,0000,686,,54607.3,292.7,,46818.58,251.42,68.62,68.62,100.0,100.0,-100.0,-0.1818,0,0,5
2073,Chaitra,12,16,2073-12-16,2017,3,29,2017-03-29,54600,0000,805,46810,0000,690,,54308.9,291.1,,46559.97,250.03,67.83,67.84,100.0,100.0,-300.0,-0.5464,0,0,5
2073,Chaitra,12,17,2073-12-17,2017,3,30,2017-03-30,54700,0000,810,46895,0000,694.50,,54408.37,291.63,,46644.52,250.48,67.53,67.52,100.0,100.0,100.0,0.1832,0,0,5
2073,Chaitra,12,18,2073-12-18,2017,3,31,2017-03-31,54200,0000,805,46470,0000,690,,53911.04,288.96,,46221.79,248.21,67.33,67.35,100.0,100.0,-500.0,-0.9141,0,0,5
2073,Chaitra,12,20,2073-12-20,2017,4,2,2017-04-02,54600,0000,810,46810,0000,694.50,,54308.9,291.1,,46559.97,250.03,67.41,67.4,100.0,100.0,400.0,0.738,0,0,5
2073,Chaitra,12,21,2073-12-21,2017,4,3,2017-04-03,54500,0000,805,46725,0000,690,,54209.44,290.56,,46475.43,249.57,67.7,67.72,100.0,100.0,-100.0,-0.1832,0,0,5
2073,Chaitra,12,22,2073-12-22,2017,4,4,2017-04-04,54900,0000,815,47070,0000,699,,54607.3,292.7,,46818.58,251.42,67.36,67.34,100.0,100.0,400.0,0.7339,0,0,5
2073,Chaitra,12,23,2073-12-23,2017,4,5,2017-04-05,55000,0000,815,47155,0000,699,,54706.77,293.23,,46903.13,251.87,67.48,67.46,100.0,100.0,100.0,0.1821,0,0,5
2073,Chaitra,12,24,2073-12-24,2017,4,6,2017-04-06,54900,0000,810,47070,0000,694.50,,54607.3,292.7,,46818.58,251.42,67.78,67.78,100.0,100.0,-100.0,-0.1818,0,0,5
2073,Chaitra,12,25,2073-12-25,2017,4,7,2017-04-07,54900,0000,810,47070,0000,694.50,,54607.3,292.7,,46818.58,251.42,67.78,67.78,100.0,100.0,0.0,0.0,0,0,5
2073,Chaitra,12,27,2073-12-27,2017,4,9,2017-04-09,54400,0000,800,46640,0000,686,,54109.97,290.03,,46390.88,249.12,68.0,67.99,100.0,100.0,-500.0,-0.9107,0,0,5
2073,Chaitra,12,28,2073-12-28,2017,4,10,2017-04-10,54400,0000,795,46640,0000,681.50,,54109.97,290.03,,46390.88,249.12,68.43,68.44,100.0,100.0,0.0,0.0,0,0,5
2073,Chaitra,12,29,2073-12-29,2017,4,11,2017-04-11,54700,0000,800,46895,0000,686,,54408.37,291.63,,46644.52,250.48,68.38,68.36,100.0,100.0,300.0,0.5515,0,0,5
2073,Chaitra,12,30,2073-12-30,2017,4,12,2017-04-12,55400,0000,810,47495,0000,694.50,,55104.64,295.36,,47241.31,253.69,68.4,68.39,100.0,100.0,700.0,1.2797,0,0,5
2073,Chaitra,12,31,2073-12-31,2017,4,13,2017-04-13,55600,0000,815,47670,0000,699,,55303.57,296.43,,47415.38,254.62,68.22,68.2,100.0,100.0,200.0,0.361,0,0,5
2074,Baisakh,1,3,2074-01-3,2017,4,16,2017-04-16,55700,0000,815,47755,0000,699,,55403.04,296.96,,47499.93,255.07,68.34,68.32,100.0,100.0,100.0,0.1799,0,0,5
2074,Baisakh,1,4,2074-01-4,2017,4,17,2017-04-17,55700,0000,815,47755,0000,699,,55403.04,296.96,,47499.93,255.07,68.34,68.32,100.0,100.0,0.0,0.0,0,0,5
2074,Baisakh,1,5,2074-01-5,2017,4,18,2017-04-18,55600,0000,810,47670,0000,694.50,,55303.57,296.43,,47415.38,254.62,68.64,68.64,100.0,100.0,-100.0,-0.1795,0,0,5
2074,Baisakh,1,6,2074-01-6,2017,4,19,2017-04-19,55700,0000,805,47755,0000,690,,55403.04,296.96,,47499.93,255.07,69.19,69.21,100.0,100.0,100.0,0.1799,0,0,5
2074,Baisakh,1,7,2074-01-7,2017,4,20,2017-04-20,55600,0000,805,47670,0000,690,,55303.57,296.43,,47415.38,254.62,69.07,69.09,100.0,100.0,-100.0,-0.1795,0,0,5
2074,Baisakh,1,8,2074-01-8,2017,4,21,2017-04-21,55500,0000,800,47585,0000,686,,55204.11,295.89,,47330.83,254.17,69.38,69.37,100.0,100.0,-100.0,-0.1799,0,0,5
2074,Baisakh,1,10,2074-01-10,2017,4,23,2017-04-23,55500,0000,800,47585,0000,686,,55204.11,295.89,,47330.83,254.17,69.38,69.37,100.0,100.0,0.0,0.0,0,0,5
2074,Baisakh,1,11,2074-01-11,2017,4,24,2017-04-24,55300,0000,790,47410,0000,677.50,,55005.17,294.83,,47156.77,253.23,70.0,69.98,100.0,100.0,-200.0,-0.3604,0,0,5
2074,Baisakh,1,12,2074-01-12,2017,4,25,2017-04-25,55100,0000,790,47240,0000,677.50,,54806.24,293.76,,46987.68,252.32,69.75,69.73,100.0,100.0,-200.0,-0.3617,0,0,5
2074,Baisakh,1,13,2074-01-13,2017,4,26,2017-04-26,54700,0000,780,46895,0000,669,,54408.37,291.63,,46644.52,250.48,70.13,70.1,100.0,100.0,-400.0,-0.726,0,0,5
2074,Baisakh,1,14,2074-01-14,2017,4,27,2017-04-27,54600,0000,775,46810,0000,664.50,,54308.9,291.1,,46559.97,250.03,70.45,70.44,100.0,100.0,-100.0,-0.1828,0,0,5
2074,Baisakh,1,15,2074-01-15,2017,4,28,2017-04-28,54700,0000,770,46895,0000,660,,54408.37,291.63,,46644.52,250.48,71.04,71.05,100.0,100.0,100.0,0.1832,0,0,5
2074,Baisakh,1,17,2074-01-17,2017,4,30,2017-04-30,54900,0000,770,47070,0000,660,,54607.3,292.7,,46818.58,251.42,71.3,71.32,100.0,100.0,200.0,0.3656,0,0,5
2074,Baisakh,1,18,2074-01-18,2017,5,1,2017-05-01,54700,0000,765,46895,0000,656,,54408.37,291.63,,46644.52,250.48,71.5,71.49,100.0,100.0,-200.0,-0.3643,0,0,5
2074,Baisakh,1,19,2074-01-19,2017,5,2,2017-05-02,54400,0000,760,46640,0000,651.5,,54109.97,290.03,,46390.88,249.12,71.58,71.59,100.0,100.0,-300.0,-0.5484,0,0,5
2074,Baisakh,1,20,2074-01-20,2017,5,3,2017-05-03,54300,0000,755,46555,0000,647.50,,54010.5,289.5,,46306.33,248.67,71.92,71.9,100.0,100.0,-100.0,-0.1838,0,0,5
2074,Baisakh,1,21,2074-01-21,2017,5,4,2017-05-04,53800,0000,745,46125,0000,639,,53513.17,286.83,,45878.63,246.37,72.21,72.18,100.0,100.0,-500.0,-0.9208,0,0,5
2074,Baisakh,1,22,2074-01-22,2017,5,5,2017-05-05,53500,0000,740,45870,0000,634.50,,53214.77,285.23,,45624.99,245.01,72.3,72.29,100.0,100.0,-300.0,-0.5576,0,0,5
2074,Baisakh,1,24,2074-01-24,2017,5,7,2017-05-07,53500,0000,740,45870,0000,634.50,,53214.77,285.23,,45624.99,245.01,72.3,72.29,100.0,100.0,0.0,0.0,0,0,5
2074,Baisakh,1,25,2074-01-25,2017,5,8,2017-05-08,53500,0000,740,45870,0000,634.50,,53214.77,285.23,,45624.99,245.01,72.3,72.29,100.0,100.0,0.0,0.0,0,0,5
2074,Baisakh,1,26,2074-01-26,2017,5,9,2017-05-09,53500,0000,740,45870,0000,634.50,,53214.77,285.23,,45624.99,245.01,72.3,72.29,100.0,100.0,0.0,0.0,0,0,5
2074,Baisakh,1,28,2074-01-28,2017,5,11,2017-05-11,53300,0000,740,45695,0000,634.50,,53015.84,284.16,,45450.93,244.07,72.03,72.02,100.0,100.0,-200.0,-0.3738,0,0,5
2074,Baisakh,1,29,2074-01-29,2017,5,12,2017-05-12,53300,0000,740,45695,0000,634.50,,53015.84,284.16,,45450.93,244.07,72.03,72.02,100.0,100.0,0.0,0.0,0,0,5
2074,Jestha,2,1,2074-02-1,2017,5,15,2017-05-15,53300,0000,740,45695,0000,634.50,,53015.84,284.16,,45450.93,244.07,72.03,72.02,100.0,100.0,0.0,0.0,0,0,5
2074,Jestha,2,2,2074-02-2,2017,5,16,2017-05-16,53500,0000,745,45870,0000,639,,53214.77,285.23,,45624.99,245.01,71.81,71.78,100.0,100.0,200.0,0.3752,0,0,5
2074,Jestha,2,3,2074-02-3,2017,5,17,2017-05-17,53700,0000,750,46040,0000,643,,53413.7,286.3,,45794.09,245.91,71.6,71.6,100.0,100.0,200.0,0.3738,0,0,5
2074,Jestha,2,4,2074-02-4,2017,5,18,2017-05-18,54700,0000,755,46895,0000,647.50,,54408.37,291.63,,46644.52,250.48,72.45,72.42,100.0,100.0,1000.0,1.8622,0,0,5
2074,Jestha,2,5,2074-02-5,2017,5,19,2017-05-19,54500,0000,750,46725,0000,643,,54209.44,290.56,,46475.43,249.57,72.67,72.67,100.0,100.0,-200.0,-0.3656,0,0,5
2074,Jestha,2,7,2074-02-7,2017,5,21,2017-05-21,54600,0000,755,46810,0000,647.50,,54308.9,291.1,,46559.97,250.03,72.32,72.29,100.0,100.0,100.0,0.1835,0,0,5
2074,Jestha,2,8,2074-02-8,2017,5,22,2017-05-22,54500,0000,755,46725,0000,647.50,,54209.44,290.56,,46475.43,249.57,72.19,72.16,100.0,100.0,-100.0,-0.1832,0,0,5
2074,Jestha,2,9,2074-02-9,2017,5,23,2017-05-23,55000,0000,770,47155,0000,660,,54706.77,293.23,,46903.13,251.87,71.43,71.45,100.0,100.0,500.0,0.9174,0,0,5
2074,Jestha,2,10,2074-02-10,2017,5,24,2017-05-24,54700,0000,765,46895,0000,656,,54408.37,291.63,,46644.52,250.48,71.5,71.49,100.0,100.0,-300.0,-0.5455,0,0,5
2074,Jestha,2,11,2074-02-11,2017,5,25,2017-05-25,54700,0000,770,46895,00000,660,,54408.37,291.63,,46644.52,250.48,71.04,71.05,100.0,100.0,0.0,0.0,0,0,5
2074,Jestha,2,12,2074-02-12,2017,5,26,2017-05-26,54700,0000,770,46895,0000,660,,54408.37,291.63,,46644.52,250.48,71.04,71.05,100.0,100.0,0.0,0.0,0,0,5
2074,Jestha,2,14,2074-02-14,2017,5,28,2017-05-28,54800,0000,770,46985,0000,660,,54507.84,292.16,,46734.04,250.96,71.17,71.19,100.0,100.0,100.0,0.1828,0,0,5
2074,Jestha,2,15,2074-02-15,2017,5,29,2017-05-29,54800,0000,770,46985,0000,660,,54507.84,292.16,,46734.04,250.96,71.17,71.19,100.0,100.0,0.0,0.0,0,0,5
2074,Jestha,2,16,2074-02-16,2017,5,30,2017-05-30,55000,0000,775,47155,0000,664.50,,54706.77,293.23,,46903.13,251.87,70.97,70.96,100.0,100.0,200.0,0.365,0,0,5
2074,Jestha,2,17,2074-02-17,2017,5,31,2017-05-31,54700,0000,770,46895,0000,660,,54408.37,291.63,,46644.52,250.48,71.04,71.05,100.0,100.0,-300.0,-0.5455,0,0,5
2074,Jestha,2,18,2074-02-18,2017,6,1,2017-06-01,54900,0000,770,47070,0000,660,,54607.3,292.7,,46818.58,251.42,71.3,71.32,100.0,100.0,200.0,0.3656,0,0,5
2074,Jestha,2,19,2074-02-19,2017,6,2,2017-06-02,54600,0000,765,46810,0000,656,,54308.9,291.1,,46559.97,250.03,71.37,71.36,100.0,100.0,-300.0,-0.5464,0,0,5
2074,Jestha,2,21,2074-02-21,2017,6,4,2017-06-04,55200,0000,775,47325,0000,664.50,,54905.71,294.29,,47072.22,252.78,71.23,71.22,100.0,100.0,600.0,1.0989,0,0,5
2074,Jestha,2,22,2074-02-22,2017,6,5,2017-06-05,55200,0000,775,47325,00000,664.50,,54905.71,294.29,,47072.22,252.78,71.23,71.22,100.0,100.0,0.0,0.0,0,0,5
2074,Jestha,2,23,2074-02-23,2017,6,6,2017-06-06,55300,00000,780,47410,00000,669,,55005.17,294.83,,47156.77,253.23,70.9,70.87,100.0,100.0,100.0,0.1812,0,0,5
2074,Jestha,2,24,2074-02-24,2017,6,7,2017-06-07,55600,0000,780,47670,0000,669,,55303.57,296.43,,47415.38,254.62,71.28,71.26,100.0,100.0,300.0,0.5425,0,0,5
2074,Jestha,2,25,2074-02-25,2017,6,8,2017-06-08,55400,0000,775,47495,0000,664.50,,55104.64,295.36,,47241.31,253.69,71.48,71.47,100.0,100.0,-200.0,-0.3597,0,0,5
2074,Jestha,2,26,2074-02-26,2017,6,9,2017-06-09,55000,0000,770,47155,0000,660,,54706.77,293.23,,46903.13,251.87,71.43,71.45,100.0,100.0,-400.0,-0.722,0,0,5
2074,Jestha,2,28,2074-02-28,2017,6,11,2017-06-11,54800,0000,765,46985,0000,656,,54507.84,292.16,,46734.04,250.96,71.63,71.62,100.0,100.0,-200.0,-0.3636,0,0,5
2074,Jestha,2,29,2074-02-29,2017,6,12,2017-06-12,54800,0000,760,46985,0000,651.50,,54507.84,292.16,,46734.04,250.96,72.11,72.12,100.0,100.0,0.0,0.0,0,0,5
2074,Jestha,2,30,2074-02-30,2017,6,13,2017-06-13,54800,0000,755,46985,0000,647.50,,54507.84,292.16,,46734.04,250.96,72.58,72.56,100.0,100.0,0.0,0.0,0,0,5
2074,Jestha,2,31,2074-02-31,2017,6,14,2017-06-14,54800,0000,755,46985,0000,647.50,,54507.84,292.16,,46734.04,250.96,72.58,72.56,100.0,100.0,0.0,0.0,0,0,5
2074,Ashad,3,1,2074-03-1,2017,6,15,2017-06-15,54700,00000,755,46895,00000,647.50,,54408.37,291.63,,46644.52,250.48,72.45,72.42,100.0,100.0,-100.0,-0.1825,0,0,5
2074,Ashad,3,2,2074-03-2,2017,6,16,2017-06-16,54500,0000,750,46725,0000,643,,54209.44,290.56,,46475.43,249.57,72.67,72.67,100.0,100.0,-200.0,-0.3656,0,0,5
2074,Ashad,3,4,2074-03-4,2017,6,18,2017-06-18,54500,0000,750,46725,0000,643,,54209.44,290.56,,46475.43,249.57,72.67,72.67,100.0,100.0,0.0,0.0,0,0,5
2074,Ashad,3,5,2074-03-5,2017,6,19,2017-06-19,54400,00000,745,46640,00000,639,,54109.97,290.03,,46390.88,249.12,73.02,72.99,100.0,100.0,-100.0,-0.1835,0,0,5
2074,Ashad,3,6,2074-03-6,2017,6,20,2017-06-20,54100,0000,740,46385,0000,634.50,,53811.57,288.43,,46137.24,247.76,73.11,73.1,100.0,100.0,-300.0,-0.5515,0,0,5
2074,Ashad,3,7,2074-03-7,2017,6,21,2017-06-21,54200,0000,740,46470,0000,634.50,,53911.04,288.96,,46221.79,248.21,73.24,73.24,100.0,100.0,100.0,0.1848,0,0,5
2074,Ashad,3,8,2074-03-8,2017,6,22,2017-06-22,54400,0000,740,46640,0000,634.50,,54109.97,290.03,,46390.88,249.12,73.51,73.51,100.0,100.0,200.0,0.369,0,0,5
